stop_id,stop_name,stop_lat,stop_lon
STIB-5817F,UCCLE CALEVOET,50.791821,4.332703
STIB-5823,CREMATORIUM,50.784415,4.328056
STIB-5824,CREMATORIUM,50.78483,4.328375
STIB-5825,ENGELAND,50.788856,4.333542
STIB-5826,BOURDON,50.786881,4.329615
STIB-5827F,GLOBE,50.80061,4.33648
STIB-5828F,XAVIER DE BUE,50.804197,4.33669
STIB-5829F,XAVIER DE BUE,50.803019,4.336592
STIB-5830F,BENS,50.807235,4.336844
STIB-5831F,BENS,50.807469,4.336801
STIB-5832F,ROOSENDAEL,50.810714,4.337778
STIB-5833F,ROOSENDAEL,50.809636,4.337297
STIB-5834F,COGHEN,50.813241,4.338827
STIB-5835F,COGHEN,50.812899,4.338628
STIB-5836F,ALTITUDE CENT,50.816971,4.336994
STIB-5837F,ALTITUDE CENT,50.816566,4.336214
STIB-5838F,JUPITER,50.819596,4.337148
STIB-5839F,JUPITER,50.81947,4.336808
STIB-5853B,GLOBE,50.799455,4.336493
STIB-5853G,GLOBE,50.799531,4.336466
STIB-5856,ROOSENDAEL,50.810063,4.337543
STIB-5858,MOLIERE-LONGCHAMP,50.816405,4.340144
STIB-5859,TIMMERMANS,50.818968,4.341236
STIB-5860,BOURDON,50.787161,4.329852
STIB-5865,WAELHEM,50.870061,4.381499
STIB-5866,FOYER SCHAERBEEK.,50.871929,4.384974
STIB-5867F,HELMET,50.874138,4.38772
STIB-5868,TILLEUL,50.875809,4.392352
STIB-5872,PAIX,50.876949,4.400835
STIB-5874F,LEKAERTS,50.871499,4.406216
STIB-5905,AQUIRIS,50.903895,4.412156
STIB-5906,RIVE DROITE,50.901712,4.408686
STIB-5908,CERES,50.89543,4.402952
STIB-5910,CHEMIN DE FER,50.889409,4.397078
STIB-5911B,PONT ALBERT,50.881474,4.382494
STIB-5913,MONNOYER,50.885481,4.390023
STIB-5915,FOREST CENTRE,50.812101,4.318878
STIB-5916,EGIDE VAN OPHEM,50.79622,4.324184
STIB-5916F,EGIDE VAN OPHEM,50.796219,4.324185
STIB-5917,WAGON,50.796832,4.329461
STIB-5917F,WAGON,50.796829,4.32947
STIB-5920C,CARREFOUR STALLE,50.795966,4.320384
STIB-5920H,CARREFOUR STALLE,50.795961,4.32017
STIB-5921B,CARREFOUR STALLE,50.795942,4.320812
STIB-5921G,CARREFOUR STALLE,50.79593,4.320966
STIB-5922,EGGERGAT,50.794272,4.312968
STIB-5923,EGGERGAT,50.795119,4.31595
STIB-5952,WAGON,50.796751,4.329048
STIB-5952F,WAGON,50.796742,4.32905
STIB-5953,EGIDE VAN OPHEM,50.796311,4.323759
STIB-5953F,EGIDE VAN OPHEM,50.796318,4.323759
STIB-5958C,PONT ALBERT,50.882253,4.38462
STIB-5959,CHEMIN DE FER,50.888744,4.396438
STIB-5961,CERES,50.895385,4.403336
STIB-5965,MONNOYER,50.885437,4.39041
STIB-5967,RIVE DROITE,50.901505,4.408885
STIB-5968,AQUIRIS,50.903499,4.412256
STIB-6004,MENNEKENS,50.853893,4.316207
STIB-6005,JOSEPH BAECK,50.851744,4.316905
STIB-6008,ACACIAS,50.834302,4.393363
STIB-6009,ACACIAS,50.834115,4.393126
STIB-6014,GILLON,50.855792,4.367006
STIB-6017,HOUWAERT,50.852987,4.373581
STIB-6018,STEURS,50.852825,4.378168
STIB-6019,FUSS,50.853948,4.380753
STIB-6020,CLAYS,50.853914,4.383279
STIB-6021,CHASSEURS ARDEN.,50.849259,4.389462
STIB-6022B,WAPPERS,50.845027,4.395125
STIB-6023,JAMBLINNE DE MEUX,50.846809,4.393402
STIB-6024,CHEVALERIE,50.842637,4.395658
STIB-6053,CHEVALERIE,50.842763,4.395899
STIB-6054B,WAPPERS,50.84484,4.395358
STIB-6055,JAMBLINNE DE MEUX,50.84706,4.39326
STIB-6056,CHASSEURS ARDEN.,50.849111,4.389839
STIB-6058,CLAYS,50.853903,4.383962
STIB-6059,FUSS,50.853517,4.380696
STIB-6060,STEURS,50.852933,4.377799
STIB-6061,BOSSUET,50.85387,4.373165
STIB-6062,RUE TRAVERSIERE,50.854551,4.368894
STIB-6068,BARA,50.838807,4.33705
STIB-6070,JOSEPH BAECK,50.852014,4.316947
STIB-6071,MENNEKENS,50.855826,4.316659
STIB-6077F,LOMBARDIE,50.824474,4.346856
STIB-6078,LOMBARDIE,50.824336,4.347222
