trip_id,route_id
STIB-125909495293368602,STIB-15
STIB-125909496293368602,STIB-15
STIB-125909497293368602,STIB-15
STIB-125909498293368602,STIB-15
STIB-125909499293368602,STIB-15
STIB-125909501293368602,STIB-15
STIB-125909502293368602,STIB-15
STIB-125909503293368602,STIB-15
STIB-125909504293368602,STIB-15
STIB-125909505293368602,STIB-15
STIB-125909506293368602,STIB-15
STIB-125909508293368602,STIB-15
STIB-125909509293368602,STIB-15
STIB-125909510293368602,STIB-15
STIB-125909511293368602,STIB-15
STIB-125909512293368602,STIB-15
STIB-125909513293368602,STIB-15
STIB-125909514293368602,STIB-15
STIB-125909515293368602,STIB-15
STIB-125909516293368602,STIB-15
STIB-125909517293368602,STIB-15
STIB-125909518293368602,STIB-15
STIB-125909519293368602,STIB-15
STIB-125909520293368602,STIB-15
STIB-125909521293368602,STIB-15
STIB-125909523293368602,STIB-15
STIB-125909524293368602,STIB-15
STIB-125909525293368602,STIB-15
STIB-125909527293368602,STIB-15
STIB-125909528293368602,STIB-15
STIB-125909530293368602,STIB-15
STIB-125909531293368602,STIB-15
STIB-125909532293368602,STIB-15
STIB-125909533293368602,STIB-15
STIB-125909534293368602,STIB-15
STIB-125909535293368602,STIB-15
STIB-125909536293368602,STIB-15
STIB-125909537293368602,STIB-15
STIB-125909538293368602,STIB-15
STIB-125909539293368602,STIB-15
STIB-125909540293368602,STIB-15
STIB-125909541293368602,STIB-15
STIB-125909542293368602,STIB-15
STIB-125909543293368602,STIB-15
STIB-125909544293368602,STIB-16
STIB-125909546293368602,STIB-15
STIB-125909547293368602,STIB-15
STIB-125909548293368602,STIB-15
STIB-125909549293368602,STIB-15
STIB-125909550293368602,STIB-15
STIB-125909551293368602,STIB-15
STIB-125909552293368602,STIB-15
STIB-125909553293368602,STIB-16
STIB-125909555293368602,STIB-15
STIB-125909556293368602,STIB-15
STIB-125909557293368602,STIB-15
STIB-125909558293368602,STIB-15
STIB-125909559293368602,STIB-15
STIB-125909560293368602,STIB-15
STIB-125909561293368602,STIB-15
STIB-125909562293368602,STIB-15
STIB-125909563293368602,STIB-16
STIB-125909565293368602,STIB-15
STIB-125909566293368602,STIB-15
STIB-125909567293368602,STIB-15
STIB-125909568293368602,STIB-15
STIB-125909569293368602,STIB-15
STIB-125909570293368602,STIB-15
STIB-125909571293368602,STIB-15
STIB-125909572293368602,STIB-16
STIB-125909574293368602,STIB-15
STIB-125909575293368602,STIB-15
STIB-125909576293368602,STIB-15
STIB-125909577293368602,STIB-15
STIB-125909578293368602,STIB-15
STIB-125909579293368602,STIB-15
STIB-125909580293368602,STIB-15
STIB-125909581293368602,STIB-15
STIB-125909582293368602,STIB-15
STIB-125909583293368602,STIB-15
STIB-125914105293368602,STIB-15
STIB-125914133293368602,STIB-15
STIB-125914145293368602,STIB-15
STIB-124945262290074001,STIB-17
STIB-124945263290074001,STIB-17
STIB-124945264290074001,STIB-17
STIB-124945265290074001,STIB-17
STIB-124945266290074001,STIB-17
STIB-124945267290074001,STIB-17
STIB-124945268290074001,STIB-17
STIB-124945269290074001,STIB-17
STIB-124945270290074001,STIB-17
STIB-124945271290074001,STIB-17
STIB-124945272290074001,STIB-17
STIB-124945273290074001,STIB-17
STIB-124945274290074001,STIB-17
STIB-124945275290074001,STIB-17
STIB-124945276290074001,STIB-17
STIB-124945277290074001,STIB-17
STIB-124945278290074001,STIB-17
STIB-124945279290074001,STIB-17
STIB-124945280290074001,STIB-17
STIB-124945281290074001,STIB-17
STIB-124945282290074001,STIB-17
STIB-124945283290074001,STIB-17
STIB-124945284290074001,STIB-17
STIB-124945285290074001,STIB-17
STIB-124945286290074001,STIB-17
STIB-124945287290074001,STIB-17
STIB-124945288290074001,STIB-17
STIB-124945289290074001,STIB-17
STIB-124945290290074001,STIB-17
STIB-124945291290074001,STIB-17
STIB-124945292290074001,STIB-17
STIB-124945293290074001,STIB-17
STIB-124945294290074001,STIB-17
STIB-124945295290074001,STIB-17
STIB-124945296290074001,STIB-17
STIB-124945297290074001,STIB-17
STIB-124945298290074001,STIB-17
STIB-124945299290074001,STIB-17
STIB-124945300290074001,STIB-17
STIB-124945301290074001,STIB-17
STIB-124945302290074001,STIB-17
STIB-124945303290074001,STIB-17
STIB-124945304290074001,STIB-17
STIB-124945305290074001,STIB-17
STIB-124945306290074001,STIB-17
STIB-124945307290074001,STIB-17
STIB-124945308290074001,STIB-17
STIB-124945309290074001,STIB-17
STIB-124945310290074001,STIB-17
STIB-124945311290074001,STIB-17
STIB-124945312290074001,STIB-17
STIB-124945313290074001,STIB-17
STIB-124945314290074001,STIB-17
STIB-124945315290074001,STIB-17
STIB-124945316290074001,STIB-17
STIB-124945317290074001,STIB-17
STIB-124945318290074001,STIB-17
STIB-124945319290074001,STIB-17
STIB-124945320290074001,STIB-17
STIB-124945321290074001,STIB-17
STIB-124945322290074001,STIB-17
STIB-124945323290074001,STIB-17
STIB-124945324290074001,STIB-17
STIB-124945325290074001,STIB-17
STIB-124945326290074001,STIB-17
STIB-124945327290074001,STIB-17
STIB-124945328290074001,STIB-17
STIB-124945329290074001,STIB-17
STIB-124945330290074001,STIB-17
STIB-124945331290074001,STIB-17
STIB-124945332290074001,STIB-17
STIB-124945333290074001,STIB-17
STIB-124945334290074001,STIB-17
STIB-124945335290074001,STIB-17
STIB-124945336290074001,STIB-17
STIB-124945337290074001,STIB-17
STIB-124945338290074001,STIB-17
STIB-124945339290074001,STIB-17
STIB-124945340290074001,STIB-17
STIB-124945341290074001,STIB-17
STIB-124945342290074001,STIB-17
STIB-124945343290074001,STIB-17
STIB-124945344290074001,STIB-17
STIB-124945345290074001,STIB-17
STIB-124945346290074001,STIB-17
STIB-124945347290074001,STIB-17
STIB-124945348290074001,STIB-17
STIB-124945349290074001,STIB-17
STIB-124945350290074001,STIB-17
STIB-124945351290074001,STIB-17
STIB-124945352290074001,STIB-17
STIB-124945353290074001,STIB-17
STIB-124945354290074001,STIB-17
STIB-124945355290074001,STIB-17
STIB-124945356290074001,STIB-17
STIB-124945357290074001,STIB-17
STIB-124945358290074001,STIB-17
STIB-124945359290074001,STIB-17
STIB-124945360290074001,STIB-17
STIB-124945361290074001,STIB-17
STIB-124945362290074001,STIB-17
STIB-124945363290074001,STIB-17
STIB-124945364290074001,STIB-17
STIB-124945365290074001,STIB-17
STIB-124945366290074001,STIB-17
STIB-124945367290074001,STIB-17
STIB-124945368290074001,STIB-17
STIB-124945369290074001,STIB-17
STIB-124945370290074001,STIB-17
STIB-124945371290074001,STIB-17
STIB-124945372290074001,STIB-17
STIB-124945373290074001,STIB-17
STIB-124945374290074001,STIB-17
STIB-124945375290074001,STIB-17
STIB-124945376290074001,STIB-17
STIB-124945377290074001,STIB-17
STIB-124945378290074001,STIB-17
STIB-124945379290074001,STIB-17
STIB-124945380290074001,STIB-17
STIB-124945381290074001,STIB-17
STIB-124945382290074001,STIB-17
STIB-124945383290074001,STIB-17
STIB-124945384290074001,STIB-17
STIB-124945385290074001,STIB-17
STIB-124945386290074001,STIB-17
STIB-124945387290074001,STIB-17
STIB-124945388290074001,STIB-17
STIB-124945389290074001,STIB-17
STIB-124945390290074001,STIB-17
STIB-124945391290074001,STIB-17
STIB-124945392290074001,STIB-17
STIB-124945393290074001,STIB-17
STIB-124945394290074001,STIB-17
STIB-124945395290074001,STIB-17
STIB-124945396290074001,STIB-17
STIB-124945397290074001,STIB-17
STIB-124945398290074001,STIB-17
STIB-124945399290074001,STIB-17
STIB-124945400290074001,STIB-17
STIB-124945401290074001,STIB-17
STIB-124945402290074001,STIB-17
STIB-124945403290074001,STIB-17
STIB-124945404290074001,STIB-17
STIB-124945405290074001,STIB-17
STIB-124945406290074001,STIB-17
STIB-124945407290074001,STIB-17
STIB-124945408290074001,STIB-17
STIB-124945409290074001,STIB-17
STIB-124945410290074001,STIB-17
STIB-124945411290074001,STIB-17
STIB-124945412290074001,STIB-17
STIB-124945413290074001,STIB-17
STIB-124945414290074001,STIB-17
STIB-124945415290074001,STIB-17
